Geneid	remap/Sample1-1.bam	remap/Sample1-2.bam	remap/Sample1-5.bam	remap/Sample1-7.bam	remap/Sample1-9.bam	remap/Sample2-10.bam	remap/Sample2-3.bam	remap/Sample2-4.bam	remap/Sample2-5.bam	remap/Sample2-8.bam
RGna_RS14380	10.107950980727491	11.307692377841594	12.67824441538618	11.93302872572712	3.379087708958332					
RGna_RS14385	15.081704637910859	14.385425190457124	18.790633998084537	24.036529290393208	8.82317346228009					
RGna_RS14390	21.97619818667011	25.345749145091123	29.99655379368241	42.063926258188104	17.50229511293112					
RGna_RS14395	51.058071533508276	122.40986519065788	75.16462913155094	56.822177932914315	126.08717595059184					
RGna_RS14400	965.7876784795511	1100.218630307184	1185.869765292986	1004.8604606122714	527.4297025229654					
RGna_RS14405	69.03927221958912	105.13077331396926	118.95106153946129	117.3393423162733	96.456726833401					
RGna_RS14410	61.98094099580142	94.74271966833321	130.7086101663685	123.47797708048768	100.41340637072308					
RGna_RS14415	16.445878926767122	17.710699355085403	20.760890687573752	11.625708262313296	16.75959582282349					
RGna_RS14420	85.32526048571486	77.87999881934122	59.04356839841263	78.50972537915244	67.44288756099027					
RGna_RS14425	35.447510170856184	28.175832793961035	28.126577269949195	23.027696856672318	15.070237884478404					
RGna_RS14430	93.21229159138079	141.2227716868047	117.04390324031962	84.12785251637621	78.2464846557327					
RGna_RS14435	136.43469498045573	221.63029065270806	152.33319640712799	112.36835139536137	175.46730449986052					
RGna_RS14440	139.02476703259393	270.7380433649819	180.6432438170319	147.13719061506126	230.70964682850902					
RGna_RS14445	42.72778359750817	39.292538771078725	35.559011072282544	29.823758646868967	29.558282736264765					
RGna_RS14450	29.92015597521025	72.31383093052372	58.58088971041725	19.384297814833225	18.296903493207562					
RGna_RS14455	79.46274486641207	183.89110731815532	122.8490074635542	90.46005646922173	100.75494856926296					
RGna_RS14460	37.70426159477715	78.74374900005125	54.74728736907377	50.076102688319175	56.94283377337067					
RGna_RS14465	73.1057252770991	94.38179502197765	71.41986803861704	75.08184686945404	71.38231949483377					
RGna_RS14470	50.33080501256298	81.63821724687715	72.98344420826186	50.541926899373294	63.40373488010576					
RGna_RS14475	35.3720392280899	30.711152575847034	25.391343110952118	47.701359674233935	19.64747905002577					
RGna_RS14480	78.84486095515425	184.82539959891116	152.8664609342091	130.4514168766593	164.84815228260015					
RGna_RS14485	29.2007472776572	19.282591212740403	30.42778659692683	37.58904048604044	6.758175417916664					
RGna_RS18205	0.0	0.7426104449351022	1.4062005605266088	0.0	0.0					
RGna_RS18210	3.640411464323311	0.0	1.8264444062012277	0.0	3.6509683292193476					
RGna_RS18215	0.3910071572791704	0.0	0.0	2.3368847921215616	0.0					
RGna_RS14495	0.0	0.7991902883587291	0.0	0.0	1.5125440221051583					
